number,href,title,ingredients,preparation
10,https://veganuary.com/recipes/tahini-protein-balls/,Tahini Protein Balls,"1 scoop of pea, soya or hemp protein powder | 2 tablespoons chia seeds | 3 tablespoons cocoa powder or raw cacao | 3 tablespoons of tahini, or peanut butter or any of your favourite nut butter | 1 -2 tablespoon of brown rice syrup (depending how sweet you like it) | 1 tablespoon coconut oil | Puffed quinoa, goji berries or any other favourite nuts or seeds to roll the balls in them","Mix your protein powder, cocoa and chia seeds. | Add brown rice syrup, mix, add coconut oil, mix and then slowly add tahini or nut butter. | Combine well together, create balls and roll them in your favourite topping. | Keep them in the fridge and pop in your mouth whenever you need something sweet or a little pick-me-up."
20,https://veganuary.com/recipes/nutty-chocolate-truffles/,Nutty Chocolate Truffles,? cup ground almonds | 1 cup peanut butter (or other nut butter) | 2 tablespoon maple syrup or agave | 12 pitted dates (this is based on deglet noor dates but if using larger medjool dates reduce to 7 dates) | ? tsp salt | 1/4 cup cocoa powder | Dark chocolate for coating,"Makes Approx. 12 Truffles. | Soak the dates in boiling water for 5 mins and then drain. In a food processor, mix all the truffle ingredients together to form a thick paste, it should be sticky but not too sticky to handle. Roll into walnut sized balls and chill until they are a little firmer. Melt the chocolate and either dip the firm truffles into the chocolate to half coat them, or just drizzle the chocolate over the top of the truffles on a tray. Best kept refrigerated. Eat within 1 week or freeze."
170,https://veganuary.com/recipes/lemon-tarts/,Vegan Lemon Tarts,Base | 1 1/2 cups spelt or all-purpose gluten free flour | 1/2 cup desiccated coconut? | 1/4 cup pure maple syrup | 1/4 cup melted coconut butter | 2 tbsp coconut oil? | 1 tsp vanilla essence | 1/4 cup cold water? | Filling | 1 cup Califia Farms Vanilla Almond milk | 1/4 tsp agar agar | 2 tbsp maple syrup | 2 tsp arrowroot flour (or tapioca) | 1/4 cup lemon juice | 2 tbsp lemon zest | 1 cup coconut yogurt,"Preheat oven to 160 degrees C. | Combine all dry base ingredients in a large mixing bowl. | Then add maple syrup, coconut butter and coconut oil, mix until it starts to stick together. | Press into the base of 6 greased mini tartlet cases.? | Place in the oven and bake for 15-20 minutes. Allow to cool completely. | Whilst cooling, prepare the lemon filling. Place almond milk, agar agar, maple syrup and arrowroot flour in a heavy based saucepan. Bring to a boil and simmer for ten minutes, stirring occasionally. | Allow to cool, stirring frequently, ensuring mixture does not set. | Place coconut yogurt, lemon juice / zest and almond milk mixture into high speed blender, blend for 30 seconds.? | Pour into tart cases and place in the fridge to set for 2-3 hours."
200,https://veganuary.com/recipes/toffee-cashew-cream/,Toffee Cashew Cream,"50g cashews | 7 dates | 1 tsp solid coconut oil, melted | Dash of vanilla extract | 4 tbsp non-dairy milk (add more for a thinner cream)","Place the cashews and dates in a bowl and soak in recently boiled water for at least 30 minutes. | Drain the cashews and dates in a colander and return to the bowl. | Add the rest of the ingredients and mix until smooth using an electronic hand blender (use a food processor, if you have one). | That's it! Keep it in the fridge for a few days, or freeze to use at a later date."
260,https://veganuary.com/recipes/quinoa-cherry-bakewell/,Quinoa Cherry Bakewell,"50g quinoa, rinsed and drained | 3 tbsp tahini | 2 tsp olive or coconut oil | 2 tbsp maple syrup or other liquid sweetener | Pinch Himalayan pink salt (or other good salt) | 20g pumpkin seeds | 350g frozen pitted cherries, or 200g fresh | 50g flaked almonds","Heat the oven to 180C / 350F / Gas Mark 4. | After rinsing, place the quinoa in a saucepan with 100ml water. Cover, bring to the boil and simmer until the water has evaporated (about 10 minutes). Leave covered for another 5 minutes. | While the quinoa is cooking, simmer the cherries in a saucepan on a medium heat. Mash with the back of a wooden spoon or fork to transform them into a jam-like consistency. This will take around 10 minutes. | Once the quinoa is ready, add it to a mixing bowl with the tahini, oil, maple syrup, salt, pumpkin seeds and half of the flaked almonds. Give it all a good stir and pour it into your baking tin, pressing down with the back of a spoon. | Next, pour on the cherries and smooth out the surface. Sprinkle on the remaining flaked almonds, pressing down to give an even coverage. | Place on the top shelf of the oven and cook for 30 minutes. | NOTES: I find frozen cherries work really well in this recipe, as they cook down more easily. However, if you use fresh cherries, add a tbsp or two of water to the pan when simmering to help the cooking process."
300,https://veganuary.com/recipes/gooey-chocolate-brownies/,Gooey Chocolate Brownies,"1 x 400g tin of aduki beans, drained and rinsed | 6 tbsp ground flaxseed | 75ml sunflower oil | 200g light soft brown sugar | 55g cocoa powder | 55g ground almonds | 1 tsp gluten-free baking powder | 100g dark dairy-free chocolate | 1 tsp vanilla extract","Makes 9 brownies | You will need a 23 cm square tin for this recipe | Preheat the oven to 180c and lightly grease and line a 23cm square brownie tin. | Begin by combining the ground flaxseed in a bowl with 9 tablespoons of water, stir together and set aside to thicken up - the flaxseed will absorb all of the liquid, acting as a binder for the brownies. | Place the aduki beans into a food processor and blitz until you have a smooth paste. Add the flaxseed mixture, oil, sugar, cocoa, ground almonds, baking powder and vanilla extract and pulse until you have a rich and glossy batter. | Roughly chop the dark chocolate into small chunks, add it to the mixture and pulse briefly just to combine the chocolate into the mixture. Spoon the brownie batter into the tin and then bake in the oven for 55-60 minutes, stopping half way through to cover the brownies loosely in foil to stop them catching. | Remove from the oven and set aside to cool down until just warm, this way the brownies will have had time to set a little but still be deliciously warm. | Like this recipe and want to try more? Sign up with Veganuary today for recipes delivered straight to your inbox."
380,https://veganuary.com/recipes/medjool-dates-cream-cheese-sherry-vanilla-sauce/,Medjool Dates with Cream Cheese and Sherry Vanilla Sauce,"Dates: | 1 pack of medjool dates (approximately 2-3 medjool dates per person) | 1 tsp plain vegan cream cheese (Tofutti, Tesco or Sheese) per date | Sauce: | 60ml/4 tbsp sweet or medium sherry made up with water to 250ml/8fl oz (many sherries - including most of Harvey's - are vegan but check first) | 1 tsp arrowroot or 2 tsp cornflour if you can't get it | 1 tbsp dark brown sugar | ? tsp vanilla extract","Serves 4 | Mix arrowroot into the sherry/water, whisking well. | Bring to the boil, stirring continuously. | Add the sugar and vanilla extract and simmer for a few minutes - until the sugar is dissolved. | Let it cool - you want the sauce to be just warm. | Split the dates with a sharp knife and spoon cream cheese into each one. Place the dates on a serving plate, drizzle the sauce artistically around them and serve."
400,https://veganuary.com/recipes/spiced-apple-slice-by-laura-jayne/,Spiced Apple Slice,150g/11/2 cups of flour | 3 tsp baking powder | 75g/1/2 cup coconut palm sugar + 1 tbsp | 85g/7 Tbsp of coconut oil | 1 Tbsp of ground flax | 75g/3/4 cup of old fashion oats | 1 1/2 tsp cinnamon | 3 eating apples | 75g 1/2 cup of apple sauce | pinch of salt,"Line or grease a square tin and preheat the oven to 180 C/350 F. | Add 2 tablespoons of water to the flax and leave to one side. Whilst that is thickening, sift together the flour, salt, baking powder and tablespoon of sugar, then rub in the oil until the mixture resembles breadcrumbs. | Add the flax mixture and knead until it becomes a firm but pliable dough. Put into the tin and press to cover the bottom evenly. | Brush a thin layer of apple sauce onto the dough, then cut the apples into thin slices and layer them on top. Use the rest of the apple sauce to cover the apple slices. | Mix together the oats, sugar and cinnamon and sprinkle on top of the apples. | Bake for 1 hour. | Leave in the tin for 10 minutes, then carefully transfer to a cooling rack. | Can be eaten warm with a big scoop of coconut milk ice cream or left to cool."
580,https://veganuary.com/recipes/amaretto-poached-pear/,Amaretto Poached Pear,"60g pecans or hazelnuts | 40g ground almonds | A pinch of sea salt | 4tsp maple syrup | 4tsp cocoa powder | 200ml water | 200ml amaretto | 1 cinnamon stick | 2 star anise | 4 ripe pears, peeled | 4tbsp vegan cream cheese | Seeds from 1 vanilla pod","Heat your oven to 180c/390f/GM4. | In a food processor or the chopper attachment of a hand blender, grind the pecans until they are crumbs. Mix in the ground almonds, sea salt, maple syrup and cocoa powder. Place this on a baking tray, bake for 10-12 minutes until it has dried out but do not let it burn. If the crumb has clumped together press it with a fork so it is in small pieces. | Put the water, amaretto, cinnamon stick, star anise and pears in a saucepan with a lid. Boil for 8-15 minutes until the pears are cooked through. Test this by using a sharp knife rather than a fork which will leave an unsightly mark on the pears. | Mix the cream cheese with the vanilla seeds. | To serve, plate the chocolate nut crumb first, add a pear to each plate and spoonful of vanilla cream cheese on the side and drizzle the hot amaretto water on the pear. | TIPS | Cut the bottom of the pears flat so they will stay upright when plated. | If you want to increase the sweetness in the dish you can serve it with a small pot of maple syrup."
640,https://veganuary.com/recipes/chocolate-tacos-by-miiro/,Chocolate Tacos,"- 2/3 cup buckwheat four | - 1/3 cup almond flour | - 1/3 cup white rice flour | - 1 tbsp baking powder | - 1 tbsp coconut sugar | - 1 tbsp raw cacao powder | - Pinch of salt | - 2 flax eggs (2 tbsp ground flax seeds mixed with 6 tbsp water) | - 1 2/3 cup almond milk | - 1 tbsp neutral oil (coconut oil) | - 2 tsp vanilla exact | - extra oil for the pan | Filling and decoration: | - MiiRO popsicles | - Banana, fruits | - Toasted chocolate chips | - Peanut butter or caramel sauce","1. Mix all the dry ingredients (flours, baking powder, sugar, salt and cacao powder) together in a large bowl. | 2. In a separate bowl, prepare the wet mixture. Prepare 2 flax eggs by whisking 2 tbsp of ground flax seeds with 6 tbsp of water and allow to sit for 3 minutes. Add the almond milk, oil and vanilla extract and mix until well combined. | 3. Pour the wet mixture onto the dry ingredients and mix using a spatula until you reach a smooth and homogeneous texture. If the batter is too dry and compact, add some extra milk. | 4. Coat a non-sticky skillet with some extra oil and put on medium heat. | 5. When the skillet is hot, pour in a scoop of the pancake batter and cook until bubbles pop at | the surface (2-3 minutes). At this moment, turn the tortilla in the pan and cook the second side | until brown (1-2 minutes). | 6. Serve as tortillas, wrapping some MiiRO popsicles, bananas, coconut chips and drizzle some | peanut butter or chocolate sauce; or can be served as pancakes with maple syrup. | Makes 6-8 tortillas"
650,https://veganuary.com/recipes/chocolate-cake-2/,Chocolate Cake,300 g soya spread (baking & spreading) (room temperature) | 300 g fine raw cane sugar | 1 tbsp vanilla extract | 300 g spelt flour | 200 g plant-based alternative to yogurt sweetened with agave | 2 tsp baking powder | 75 g cacao powder | 75 ml rice-coconut chocolate drink or similar plant-based alternative | 1 pinch of salt,"Cake | Preheat the oven to 185C. | Beat the Provamel baking & spreading and the sugar for 5 mins with a whisker or food processor, until you are left with a light texture and until the sugars is dissolved. | Add the vanilla and the plant-based alternative to yogurt and fold gently. | Sieve the flower in 3 times over the batter and gently fold until the flour is dissolved. | Do the same with the cacao powder. | Finally add the rice-coconut chocolate drink or similar plant-based alternative. | Stir well until you have a smooth batter. | In the meantime grease 2 baking tins with a diameter of 18cm. | Cover them with a layer of flour. | Divide the batter equally over the tins and bake for 25 to 30 mins. | Let it cool for 5 mins in the tin and afterwards let it further cool outside the tin. | Frosting | Fill the bottom of a cooking pot with some water. | Put a bowl on top of the pot. Make sure the water does not touch the bowl. | Let the water come to a boiling point, but don't let it further boil. | Put the following ingredients in the bowl and stir until you have a shiny mixture and the chocolate is molten: 300 g powdered sugar, 200 g Provamel baking and spreading, 5 tbsp Rice-Coconut-Chocolate drink, 100 g vegan chocolate, 2 tbsp cacao powder. | Let it cool. | Cover the top of 1 cake with part of the frosting. | Sprinkle with the raspberries, red berries and other berries. | Put the 2nd cake on top of this and gently push. | Generously cover the top with the frosting and decorate."
